id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price
2839061,"#1 Discover local life, culture & People/Work desk                                                          ",4839990,Toshiyuki                                             ,Bunkyo Ku           ,35.72035,139.76445,Private room    ,11169
2867835,Lively town flat for family stay                                                                              ,9360394,Vann Amor                                             ,Adachi Ku           ,35.79124,139.79102,Entire home/apt ,12200
2883497,,6969809,Kota                                                  ,Taito Ku            ,35.72208,139.78049,Entire home/apt ,23371
2883753,Modern Tatami dining with comfy bed                                                                           ,9360394,Vann Amor                                             ,Adachi Ku           ,35.791368746081226,139.79204721255772,Entire home/apt ,12200
2883869,Comfy Studio with Lovely balcony                                                                              ,9360394,Vann Amor                                             ,Adachi Ku           ,35.79166,139.79285,Entire home/apt ,6329
3085134,"""HirooHouse""3Rm, 6 guests, 2minWalk/HIROO Stn.                                                            ",10415965,Azabu                                                 ,Shibuya Ku          ,35.65174,139.72175,Entire home/apt ,44429
3235958,Enjoy Simple Life in Tokyo (1)                                                                                ,16241464,Kaori                                                 ,Itabashi Ku         ,35.78156,139.63309,Entire home/apt ,6571
3339222,Enjoy Simple Life in Tokyo (2)                                                                                ,16241464,Kaori                                                 ,Itabashi Ku         ,35.77932,139.63338,Entire home/apt ,7200
3364169,Asakusa friendly family type apt                                                                              ,16973429,Hirano San                                            ,Taito Ku            ,35.7223,139.80049,Entire home/apt ,13000
3372902,,17018818,Miri                                                  ,Meguro Ku           ,35.61728,139.6679,Entire home/apt ,6800
3389878,*Cozy Petit Single Rm w Balcony in Shared Mansion                                                             ,9203725,Tokyo                                                 ,Shinagawa Ku        ,35.60689,139.73412,Private room    ,8000
3427384,,13018876,Masakatsu                                             ,Edogawa Ku          ,35.68374,139.85971,Entire home/apt ,7260
3514008,,17694529,Hisao                                                 ,Arakawa Ku          ,35.72672,139.78201,Entire home/apt ,2900
3563698,"Clean and comfortable apartment in Machida, Tokyo                                                           ",11583876,Ken                                                   ,Machida Shi         ,35.58911,139.48023,Entire home/apt ,4800
3572139,Modern Japanese house w/ garden                                                                               ,15514130,Tomo                                                  ,Toshima Ku          ,35.72784292965493,139.73408415595273,Entire home/apt ,39229
3623844,,13018876,Masakatsu                                             ,Edogawa Ku          ,35.68358,139.85985,Entire home/apt ,7549
3657357,2 Tiny Apartments - 1 Listing Central Tokyo Nakano                                                            ,4847803,Best Stay In Tokyo!                                   ,Nakano Ku           ,35.70861,139.68637,Entire home/apt ,25738
3689244,,18776800,,Shibuya Ku          ,35.67205,139.67877,Entire home/apt ,34000
3744742,"(3) JR Station 8 mins Walk, Shinjuku 11 mins Train                                                          ",19152993,Sei                                                   ,Kita Ku             ,35.76108,139.71599,Entire home/apt ,8929
3775528,SHIBUYA12min/Fancy&Warm house                                                                                 ,19358663,Mikako                                                ,Setagaya Ku         ,35.62942,139.63077,Private room    ,16086
3793206,,8142772,Min & Haru                                            ,Shinjuku Ku         ,35.69847,139.70432,Private room    ,12800
3793412,,8142772,Min & Haru                                            ,Shinjuku Ku         ,35.69848,139.70432,Private room    ,12800
3814258,apartment hotel TASU TOCO                                                                                     ,19611972,,Suginami Ku         ,35.70293,139.60045,Entire home/apt ,8714
3838856,,4626879,Tracey                                                ,Shibuya Ku          ,35.68245,139.69009,Entire home/apt ,56250
3845889,,19089769,Manami                                                ,Suginami Ku         ,35.70679,139.6551,Entire home/apt ,12000
3846001,COZY COMFY apartment                                                                                          ,19089769,Manami                                                ,Suginami Ku         ,35.70686575604375,139.6554380782686,Entire home/apt ,12000
3871442,Nishi-Ogikubo 1BR Roomy (SSH1BRR-S)                                                                           ,18776800,,Suginami Ku         ,35.70399,139.59775,Entire home/apt ,19214
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.                                                           ",10415965,Azabu                                                 ,Shibuya Ku          ,35.64966,139.72181,Entire home/apt ,50143
3920124,"Residential area, Peaceful Traditional House 2                                                              ",20307199,Hotaka                                                ,Higashimurayama Shi ,35.76577,139.44678,Entire home/apt ,80432
3956263,TINY Home in Shibuya Close to Shinjuku                                                                        ,4847803,Best Stay In Tokyo!                                   ,Shibuya Ku          ,35.67813,139.67913,Entire home/apt ,17695
4026948,Near Shinagawa Shibuya Haneda                                                                                 ,20878710,Daisuke                                               ,Shinagawa Ku        ,35.60033,139.73415,Private room    ,5900
4047596,Enjoy Central Tokyo Yamanote Life 2BR Condo                                                                   ,6504053,Bryan                                                 ,Shinagawa Ku        ,35.62633,139.7235,Entire home/apt ,35000
4050925,Airport transfer service&Asakusa traditional house                                                            ,21004633,Yoshi                                                 ,Taito Ku            ,35.71431,139.79885,Entire home/apt ,40000
4141228,#211 Private Cozy Apt. in Tokyo                                                                               ,17736560,,Nakano Ku           ,35.73417,139.63328,Entire home/apt ,11951
4360718,"(2) JR Station 8 mins Walk, Shinjuku 11 mins Train                                                          ",19152993,Sei                                                   ,Kita Ku             ,35.76108,139.71599,Entire home/apt ,10600
4388283,,10969488,Como                                                  ,Kokubunji Shi       ,35.70919,139.48074,Private room    ,5539
4396219,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F                                                                  ,18776800,,Suginami Ku         ,35.70399,139.59775,Entire home/apt ,19214
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F                                                                          ,18776800,,Suginami Ku         ,35.70399,139.59775,Entire home/apt ,23643
4495014,"(6) JR Station 8 mins Walk, Shinjuku 11 mins Train                                                          ",19152993,Sei                                                   ,Kita Ku             ,35.76108,139.71599,Entire home/apt ,11200
4540924,"2persons Hino room #2, Shinjuku28min Shibuya38min                                                           ",23416902,Naga                                                  ,Hino Shi            ,35.685214489929706,139.39478936735702,Entire home/apt ,6595
4606903,,23871736,Matsuda                                               ,Mitaka Shi          ,35.680981,139.538055,Private room    ,20000
4616579,Furnished Private Apt.213                                                                                     ,17736560,,Nakano Ku           ,35.73414,139.63305,Entire home/apt ,11951
4673248,,23871736,Matsuda                                               ,Mitaka Shi          ,35.680981,139.538055,Entire home/apt ,25000
4690684,"Rm2 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama                                                           ",22643572,Sachiko                                               ,Higashimurayama Shi ,35.75851,139.47982,Private room    ,4400
4691157,"Rm3 To Shinjuku,Shibuya,Ghibli,& Mt.Takao,Okutama                                                           ",22643572,Sachiko                                               ,Higashimurayama Shi ,35.75619,139.48071,Private room    ,4200
4750169,4persons! Shinjuku30min Tokyo45min!                                                                           ,23416902,Naga                                                  ,Hino Shi            ,35.68548,139.39496,Entire home/apt ,7557
4813245,*Tokyo House group&family upto5 & carpark FastWIFI                                                            ,9782688,Kevin                                                 ,Toshima Ku          ,35.73055,139.68657,Entire home/apt ,33735
4817291,,23595333,Keiko                                                 ,Taito Ku            ,35.72804,139.79048,Entire home/apt ,17000
4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1)                                                                ,24812892,Mao                                                   ,Shibuya Ku          ,35.67744,139.68058,Entire home/apt ,18000
4842239,"Access into center  Tokyo,for economize travelers                                                           ",24087904,Rinrin                                                ,Bunkyo Ku           ,35.72761,139.76383,Entire home/apt ,6000
4849854,Villa Takaosan                                                                                                ,400207807,,Hachioji Shi        ,35.63738,139.2863,Entire home/apt ,17571
4888140,"(1) JR Station 8 mins Walk, Shinjuku 11 mins Train                                                          ",19152993,Sei                                                   ,Kita Ku             ,35.76108,139.71599,Entire home/apt ,10600
4925503,,25370510,Mitsuko                                               ,Shibuya Ku          ,35.67923,139.67571,Entire home/apt ,12000
4925745,,23595333,Keiko                                                 ,Taito Ku            ,35.72951,139.79137,Entire home/apt ,28700
4926317,,25370510,Mitsuko                                               ,Shibuya Ku          ,35.68068,139.6753,Entire home/apt ,11143
4926426,,25370510,Mitsuko                                               ,Shibuya Ku          ,35.67933,139.67511,Entire home/apt ,10000
5070495,Private Cozy Apt. 111 in Tokyo                                                                                ,17736560,,Nakano Ku           ,35.73496,139.63132,Entire home/apt ,11951
5080877,Decoboco                                                                                                      ,21769906,Decoboco                                              ,Koto Ku             ,35.68162,139.81859,Entire home/apt ,6229
5128293,,8142772,Min & Haru                                            ,Shinjuku Ku         ,35.69872,139.70276,Shared room     ,7760
5198467,,25911199,Tomoya                                                ,Bunkyo Ku           ,35.72129,139.76323,Entire home/apt ,45000
5217466,#411 Private Cozy Apt. in Tokyo                                                                               ,17736560,,Nakano Ku           ,35.73404,139.63128,Entire home/apt ,11951
5262640,Private Cozy Apt in Tokyo 413                                                                                 ,17736560,,Nakano Ku           ,35.73445,139.63139,Entire home/apt ,12065
5262658,Private Cozy Apt in Tokyo 311                                                                                 ,17736560,,Nerima Ku           ,35.73588,139.63159,Entire home/apt ,11951
5410242,Steve's International Guest Place                                                                             ,28045851,Steve                                                 ,Suginami Ku         ,35.70055,139.60022,Entire home/apt ,10456
5464293,Finest Cafe/Bar/Hotel 3F in Asagaya TOKYO /w WIFI                                                             ,28340699,Kimmy And Dee                                         ,Suginami Ku         ,35.70459,139.63712,Entire home/apt ,8000
5564391,,28837813,Insta-Homes                                           ,Nerima Ku           ,35.73172,139.66583,Private room    ,5800
5633430,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19                                                             ,17736560,,Nerima Ku           ,35.7359,139.63151,Entire home/apt ,12755
5641920,#312 Furnished Private Apt.                                                                                   ,17736560,,Nakano Ku           ,35.7348,139.63141,Entire home/apt ,12755
5673677,,15282125,Kanako                                                ,Setagaya Ku         ,35.66432,139.65839,Private room    ,16000
5738050,Enjoy local life in Tokyo                                                                                     ,29758027,Chieko                                                ,Ota Ku              ,35.56976,139.69158,Entire home/apt ,5586
5815506,,18289292,,Bunkyo Ku           ,35.71934,139.76508,Private room    ,6800
5876019,"Residential area, Peaceful Traditional House 1                                                              ",20307199,Hotaka                                                ,Higashimurayama Shi ,35.76544,139.44477,Private room    ,6714
5932309,"Japanese cosy vintage house, easy access in Tokyo                                                           ",30745996,Chie                                                  ,Kita Ku             ,35.74408,139.72525,Entire home/apt ,9786
5936568,"Private apartment in Tokyo machida, 17m2                                                                    ",22038803,Suda                                                  ,Machida Shi         ,35.56134,139.46284,Entire home/apt ,5500
5947917,,30879374,Masayasu                                              ,Taito Ku            ,35.720383726628555,139.80487268418074,Private room    ,14000
5963368,,29681737,,Nerima Ku           ,35.7646,139.66835,Private room    ,9800
5979941,"7min to Station, Japanese style room, Free WiFi                                                             ",30840659,Guesthouse                                            ,Katsushika Ku       ,35.76776,139.86466,Private room    ,10343
6050643,"Residential area, Peaceful Traditional House 3                                                              ",20307199,Hotaka                                                ,Higashimurayama Shi ,35.76676,139.44505,Entire home/apt ,20000
6214018,Room202 Ikebukuro is 5 min by train                                                                           ,24219962,Hiroya                                                ,Kita Ku             ,35.75786,139.72151,Private room    ,3286
6308465,,32815136,Ayako                                                 ,Meguro Ku           ,35.64284,139.70001,Entire home/apt ,50000
6365363,SHITAMACHI BASE/Quiet new apt.room101/skytree view                                                            ,33170407,Hiroyoshi                                             ,Sumida Ku           ,35.71865,139.81069,Entire home/apt ,10286
6374299,,30314225,Ryo & Yuri                                            ,Toshima Ku          ,35.730572,139.7298174,Entire home/apt ,16929
6380625,Sunny House in a Leafy Street                                                                                 ,33088758,Nayu                                                  ,Suginami Ku         ,35.67951,139.64878,Entire home/apt ,30571
6439108,Daisuke's Luxury Shimokita Apt #2                                                                             ,10705201,Daisuke                                               ,Setagaya Ku         ,35.66106,139.66859,Entire home/apt ,11429
6505073,,19152993,Sei                                                   ,Kita Ku             ,35.76108,139.71599,Entire home/apt ,13440
6562355,Middle of Shinjuku and Kamakura                                                                               ,2008948,Miharu                                                ,Machida Shi         ,35.55057,139.45385,Private room    ,6435
6592213,,34475322,Masaru                                                ,Machida Shi         ,35.5872,139.48277,Private room    ,3643
6613961,Room205 Ikebukuro is 5 min by train                                                                           ,24219962,Hiroya                                                ,Kita Ku             ,35.75787,139.72153,Private room    ,3443
6627048,,34155786,Ij                                                    ,Toshima Ku          ,35.7343245,139.7023259,Entire home/apt ,10488
6636522,Private room#13minutes by train to Tokyo station                                                              ,34735989,,Bunkyo Ku           ,35.71773,139.74374,Private room    ,4864
6646878,near shibuya quiet residential area                                                                           ,34561184,Toshiro & Tanya                                       ,Setagaya Ku         ,35.65191,139.66968,Private room    ,10123
6648293,"High speed internet ,8min walk from JR Osaki                                                                ",5749679,Sayoko                                                ,Shinagawa Ku        ,35.61486,139.726,Private room    ,7900
6719865,Yanesen  Traditional Nagaya house                                                                             ,11025259,Takamitsu                                             ,Taito Ku            ,35.72024,139.76607,Entire home/apt ,24130
6749824,,35340956,Yoshio                                                ,Taito Ku            ,35.7242,139.77766,Private room    ,5514
6750472,,30828383,,Taito Ku            ,35.7155,139.79083,Entire home/apt ,16429
6768640,SHITAMACHI BASE/Quiet new apt.room102/skytree view                                                            ,33170407,Hiroyoshi                                             ,Sumida Ku           ,35.71818,139.81237,Entire home/apt ,10286
6785470,DOMUS MUSASHINO -Sakura View-                                                                                 ,35525878,Kanako                                                ,Kodaira Shi         ,35.72576,139.50954,Entire home/apt ,5100
6800607,#313 Private Cozy Apt. in Tokyo                                                                               ,17736560,,Nerima Ku           ,35.73624,139.63247,Entire home/apt ,11951
6803014,"Minato-ku, Tokyo, Nature-Rich-Designer""Tiny"" House                                                        ",35614067,Kan                                                   ,Minato Ku           ,35.63612,139.72575,Entire home/apt ,30000
6812578,"Female,Couple/Less 15min to Shibuya                                                                         ",26386727,Mami                                                  ,Shinagawa Ku        ,35.62302,139.70141,Private room    ,10429
6837981,SHITAMACHI BASE/Quiet new apt.room103/skytree view                                                            ,33170407,Hiroyoshi                                             ,Sumida Ku           ,35.71848,139.81109,Entire home/apt ,10286
6838363,SHITAMACHI BASE/Quiet new apt.room201/skytree view                                                            ,33170407,Hiroyoshi                                             ,Sumida Ku           ,35.71893,139.81294,Entire home/apt ,10286
6838964,SHITAMACHI BASE/Quiet new apt.room202/skytree view                                                            ,33170407,Hiroyoshi                                             ,Sumida Ku           ,35.72,139.81074,Entire home/apt ,13571
6854721,,21769906,Decoboco                                              ,Koto Ku             ,35.67986,139.81736,Entire home/apt ,7857
6856801,Nishi-Ogikubo 1BR Studio Type-B (SSH1BRS-B) 5F                                                                ,18776800,,Suginami Ku         ,35.70402,139.5977,Entire home/apt ,18714
6859825,Room103 Ikebukuro is 5 min by train                                                                           ,24219962,Hiroya                                                ,Kita Ku             ,35.75788,139.72153,Private room    ,3071
6874108,Shinjuku/Shin-Okubo 5 min Comfy 2BR [HL4A]                                                                    ,269182185,Sumifuku                                              ,Shinjuku Ku         ,35.70159,139.70653,Entire home/apt ,27311
6875368,One hour from the airport.Good access to all                                                                  ,35340956,Yoshio                                                ,Taito Ku            ,35.72413,139.77771,Private room    ,6500
6914633,,33705289,Tomomasa                                              ,Suginami Ku         ,35.70565,139.65262,Entire home/apt ,9800
6939875,Near station! Free parking included! Pet friendly!                                                            ,35828905,Kanako                                                ,Shinagawa Ku        ,35.60982,139.72068,Entire home/apt ,17886
6975801,"Japanese Modern Studio, 2 stops to Shinjuku (#2)                                                            ",36396507,Yuka                                                  ,Shibuya Ku          ,35.67681,139.67929,Private room    ,13429
7038511,,29681737,,Itabashi Ku         ,35.76456,139.67015,Private room    ,9800
7038653,,29681737,,Nerima Ku           ,35.76288,139.66803,Private room    ,7880
7038739,,29681737,,Nerima Ku           ,35.76455,139.66829,Private room    ,10400
7043818,,34076095,Yumi                                                  ,Shinjuku Ku         ,35.68804,139.72024,Entire home/apt ,25738
7057399,102Tokyo JRHiraiSt. take a walk 9minutes apartment                                                            ,37012733,Mariko                                                ,Edogawa Ku          ,35.70208,139.84227,Entire home/apt ,6000
7123125,Condo 201 (Fully Renovated Flat in Central Tokyo)                                                             ,37312047,Kae                                                   ,Minato Ku           ,35.65681,139.75271,Entire home/apt ,30000
7136098,,33705289,Tomomasa                                              ,Suginami Ku         ,35.70522,139.65431,Entire home/apt ,9800
7149882,a) 4min walk Ikebukuro/ 78 sqm/ Free wifi/ 8BEDS                                                              ,29253527,Momo                                                  ,Toshima Ku          ,35.73334,139.70837,Entire home/apt ,33000
7170836,Direct NaritAirport/Shinjuku/Akihabara/Tokyo Sta.                                                             ,37525225,,Katsushika Ku       ,35.72358,139.85843,Entire home/apt ,25714
7217107,#212 1bed in a mixed dorm.sleep 2 people together                                                             ,30883070,Takeshi                                               ,Koto Ku             ,35.68288,139.81552,Shared room     ,2263
7227038,,37836517,Akari                                                 ,Minato Ku           ,35.65612,139.73437,Entire home/apt ,25643
7281726,Reiko's cosy flat near Tamagawa University                                                                    ,38131090,,Machida Shi         ,35.55741,139.45917,Entire home/apt ,10000
7310511,#214 1bed in a mixed dorm.sleep 2 people together                                                             ,30883070,Takeshi                                               ,Koto Ku             ,35.68288,139.81552,Shared room     ,2496
7322455,Takahata Private Apartment 105                                                                                ,13088224,Rickie                                                ,Hino Shi            ,35.66263,139.40793,Entire home/apt ,4729
7349832,101Tokyo JRHirai St. take a walk9minutes apartment                                                            ,37012733,Mariko                                                ,Edogawa Ku          ,35.70157,139.84156,Entire home/apt ,6000
7353004,"Riversideroom Shinjyuku28min, Shibuya35min 2person                                                          ",38526810,Yoshi                                                 ,Hino Shi            ,35.68521,139.39257,Entire home/apt ,6800
7358397,"Peaceful Riverside View, Asakusa                                                                            ",37545792,Harumi                                                ,Taito Ku            ,35.70511,139.79276,Entire home/apt ,36000
7370013,Renovated Mar2024/Private Room/2Double beds/FST302                                                            ,30883070,Takeshi                                               ,Koto Ku             ,35.68288,139.81552,Private room    ,5959
7389965,#213 ToeiShinjuku&Hanzomon. Sake&tea. 7min to Sta.                                                            ,30883070,Takeshi                                               ,Koto Ku             ,35.68288,139.81552,Shared room     ,2284
7393044,#211 Good access. Convenient. 7mins to Sta.                                                                   ,30883070,Takeshi                                               ,Koto Ku             ,35.68288,139.81552,Shared room     ,2649
7406024,Cozy House near Ajinomoto Studium TUFS/ICU/ASIJ                                                               ,36829680,Jimmy'S Family                                        ,Fuchu Shi           ,35.673141389943574,139.51334736827027,Entire home/apt ,17714
7450080,Japanese style room near Shinjuku                                                                             ,39017078,Lina                                                  ,Suginami Ku         ,35.68163,139.65261,Private room    ,6500
7484849,"10min to Shibuya,Shinjuku Cosy room                                                                         ",39201606,Yamagata                                              ,Setagaya Ku         ,35.66510009765625,139.6403350830078,Private room    ,22857
7620544,,39969626,Yuna Soon                                             ,Adachi Ku           ,35.78152,139.77846,Private room    ,18286
7625528,[S6B] Shinjuku/Shin-Okubo 5 min Bright Apt                                                                    ,269182185,Sumifuku                                              ,Shinjuku Ku         ,35.70028,139.70525,Entire home/apt ,21224
7718263,sinjyuku house3minutea Okubo Station                                                                          ,40553944,Katutoshi                                             ,Shinjuku Ku         ,35.70015,139.69946,Entire home/apt ,16487
7876373,,41516927,Yoshihito                                             ,Chuo Ku             ,35.68842,139.77816,Shared room     ,6084
7876385,,41516927,Yoshihito                                             ,Chuo Ku             ,35.68903,139.77667,Shared room     ,6560
7876639,,41516927,Yoshihito                                             ,Chuo Ku             ,35.68699,139.77643,Shared room     ,5597
7899504,Top edge house 202                                                                                            ,38655722,"Top Edge Co., Ltd.                                  ",Suginami Ku         ,35.70366,139.62997,Private room    ,4800
7901470,,17694529,Hisao                                                 ,Arakawa Ku          ,35.72671,139.782,Entire home/apt ,2900
7901621,,17694529,Hisao                                                 ,Arakawa Ku          ,35.72672,139.78201,Entire home/apt ,2900
7903097,"#2 Close to Ikebukuro area, 12mins by train                                                                 ",9542500,Jiang                                                 ,Itabashi Ku         ,35.75915,139.68365,Private room    ,6143
7911710,#1 DoubleSize Bed room 12mins by train to kebukuro                                                            ,9542500,Jiang                                                 ,Itabashi Ku         ,35.76123,139.68315,Private room    ,6571
7938869,100-year-old wooden house/ 1min to the station                                                                ,41865642,Yuki                                                  ,Shibuya Ku          ,35.65191,139.7205,Entire home/apt ,42686
7940139,designer house near Shimokitazawa                                                                             ,24957450,Alexander                                             ,Setagaya Ku         ,35.66913,139.65991,Entire home/apt ,41134
7940713,IKEBUKURO Comfy room for travellers                                                                           ,29681737,,Nerima Ku           ,35.763,139.66878,Private room    ,10500
7954446,Top edge house 103                                                                                            ,38655722,"Top Edge Co., Ltd.                                  ",Suginami Ku         ,35.70365,139.62999,Private room    ,4300
7956999,,18132812,Kazumi                                                ,Shinjuku Ku         ,35.69142,139.68524,Entire home/apt ,16721
7965448,Shinagawa area  2 min to station!  room#102                                                                   ,19532514,Josh F                                                ,Shinagawa Ku        ,35.59877,139.73915,Entire home/apt ,11122
8105976,"Easy to airport,Asakusa,Skytree,Ginza,Akihabara!                                                            ",12369727,Kei                                                   ,Katsushika Ku       ,35.7333,139.85079,Entire home/apt ,14229
8108276,To Ikebukuro Walk 5Min/2BR/Shinjuku/Shibuya/6pp                                                               ,24575613,Momoe                                                 ,Toshima Ku          ,35.727,139.71273,Entire home/apt ,25114
8173177,"Japanese Modern Apt, 2 Stops to Shinjuku (#3)                                                               ",36396507,Yuka                                                  ,Shibuya Ku          ,35.6772,139.67896,Private room    ,12000
8246244,House Near Shinjuku Central Park!!!                                                                           ,43430911,Ming Yang                                             ,Shinjuku Ku         ,35.69024,139.68741,Entire home/apt ,42143
8264671,,43579713,Miho                                                  ,Minato Ku           ,35.6673,139.71916,Private room    ,8000
8274487,"High speed internet ,8min walk JR Osaki.max for 3                                                           ",5749679,Sayoko                                                ,Shinagawa Ku        ,35.61533,139.72495,Entire home/apt ,9500
8297870,Room available in Brand New House                                                                             ,7212968,Jason                                                 ,Toshima Ku          ,35.74061,139.71046,Private room    ,6504
8332946,Near SkyTree Aakusa Oshiage station Free wifi                                                                 ,43721134,Shio                                                  ,Sumida Ku           ,35.70672,139.81335,Entire home/apt ,16286
8341784,Near Shinjuku! BigBalcony New!Powerful clothdryer~                                                            ,43855091,Rumika                                                ,Shibuya Ku          ,35.6857,139.68274,Entire home/apt ,27143
8372308,,43230315,Hirotake                                              ,Minato Ku           ,35.667755126953125,139.7528076171875,Entire home/apt ,27652
8416408,Near SHIBUYA Quiet Residential Area                                                                           ,34561184,Toshiro & Tanya                                       ,Setagaya Ku         ,35.65192,139.66968,Private room    ,12266
8447162,,14382431,Kyoko                                                 ,Setagaya Ku         ,35.66326,139.66277,Entire home/apt ,52429
8450948,,44316986,Yukio                                                 ,Machida Shi         ,35.59061,139.46899,Entire home/apt ,7000
8488964,D) 4min walk Ikebukuro/Free wifi/Direct Shinjuku                                                              ,29253527,Momo                                                  ,Toshima Ku          ,35.73332,139.70842,Entire home/apt ,19786
8583857,,43979015,Ohkubo                                                ,Shinjuku Ku         ,35.70158,139.704,Entire home/apt ,10000
8618595,#305 / Near Shinjuku Shibuya / 3 beds/ Bright room                                                            ,43751877,Masami                                                ,Shibuya Ku          ,35.67949,139.67874,Entire home/apt ,27501
8619851,,26761196,Yoko&Yasuhiro                                         ,Nakano Ku           ,35.71702,139.64708,Entire home/apt ,37571
8731635,lovely new town house by Sky Tree                                                                             ,45410526,Josie                                                 ,Sumida Ku           ,35.7149,139.81431,Private room    ,3629
8783754,New! near Sensoji Temple Free WiFi                                                                            ,43145433,,Taito Ku            ,35.71806,139.79887,Entire home/apt ,10700
8784897,"Big Studio Apt, 2 Stops to Shinjuku (#4)                                                                    ",36396507,Yuka                                                  ,Shibuya Ku          ,35.67733,139.6789,Private room    ,30527
8815730,"Simple Cozy Apt, 2 Stops to Shinjuku (#5)                                                                   ",36396507,Yuka                                                  ,Shibuya Ku          ,35.67694,139.67878,Private room    ,18514
8947448,Japanese-style guest house near Asakusa & Skytree                                                             ,37087932,Konoha House                                          ,Sumida Ku           ,35.70944,139.80191,Entire home/apt ,25143
8995057,,43979015,Ohkubo                                                ,Shinjuku Ku         ,35.70006,139.70599,Entire home/apt ,11000
